City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Inhambane,MZ,-23.865,35.3833,75.18,88,40,7.0,scattered clouds
200,Chapais,CA,49.7834,-74.8492,46.18,82,94,6.53,overcast clouds
201,Obo,CF,5.3998,26.4869,67.73,98,100,2.95,overcast clouds
202,Faanui,PF,-16.4833,-151.75,78.76,75,4,17.96,light rain
203,Souillac,MU,-20.5167,57.5167,73.78,73,40,12.66,light rain
204,Port Lincoln,AU,-34.7333,135.8667,60.84,83,96,18.14,overcast clouds
205,Kailua,US,21.4022,-157.7394,80.58,70,100,11.5,overcast clouds
206,Sitka,US,57.0531,-135.33,50.47,76,80,3.51,broken clouds
207,Tasiilaq,GL,65.6145,-37.6368,34.36,94,100,6.93,overcast clouds
208,Samarai,PG,-10.6167,150.6667,81.64,81,86,15.21,overcast clouds
209,Kumul,CN,42.8,93.45,61.48,9,53,5.79,broken clouds
210,Fastovetskaya,RU,45.9189,40.1589,60.51,60,99,7.7,overcast clouds
211,Zyryanka,RU,65.75,150.85,28.38,71,100,10.2,overcast clouds
212,Geraldton,AU,-28.7667,114.6,75.61,50,0,16.11,clear sky
213,Richards Bay,ZA,-28.783,32.0377,71.78,65,74,13.89,broken clouds
214,Michigan City,US,41.7075,-86.895,48.49,99,0,0.0,clear sky
215,Ponta do Sol,CV,17.1994,-25.0919,78.58,82,100,12.35,overcast clouds
216,Ribeira Grande,PT,38.5167,-28.7,69.31,82,93,3.8,overcast clouds
217,Luleå,SE,65.5842,22.1547,46.47,100,75,3.44,broken clouds
218,São João da Barra,BR,-21.6403,-41.0511,67.82,93,96,5.77,moderate rain
219,Itarema,BR,-2.9248,-39.9167,77.43,79,94,14.88,overcast clouds
220,Ocós,GT,14.5094,-92.1933,80.08,78,63,5.64,broken clouds
221,Milazzo,IT,38.2212,15.2383,71.82,81,86,4.0,overcast clouds
222,Wattegama,LK,6.7989,81.4808,93.04,39,100,2.48,overcast clouds
223,Alta Floresta,BR,-9.8756,-56.0861,70.5,94,39,2.73,light rain
224,Sayyan,YE,15.1718,44.3244,63.1,28,1,5.61,clear sky
225,Río Gallegos,AR,-51.6226,-69.2181,37.45,93,20,4.61,few clouds
226,Dumalaguing,PH,8.3469,125.055,78.6,84,80,2.26,broken clouds
227,Basco,PH,20.4487,121.9702,83.61,78,41,13.33,scattered clouds
228,Laguna,BR,-28.4825,-48.7808,59.36,71,100,8.1,overcast clouds
229,Half Moon Bay,US,37.4636,-122.4286,62.49,86,100,16.11,overcast clouds
230,Westport,NZ,-41.7526,171.6037,53.62,70,92,10.65,overcast clouds
231,Drovyanaya,RU,51.5833,113.0333,35.83,44,100,7.9,overcast clouds
232,Vardø,NO,70.3705,31.1107,42.78,75,100,3.44,overcast clouds
233,Vostok,RU,46.4856,135.8833,34.09,53,71,15.26,broken clouds
234,Humaitá,BR,-7.5061,-63.0208,71.28,98,78,2.37,broken clouds
235,Vao,NC,-22.6667,167.4833,69.28,65,15,17.02,few clouds
236,Gladstone,AU,-23.85,151.25,77.79,50,4,16.11,clear sky
237,Arman',RU,59.7,150.1667,35.02,61,100,11.83,overcast clouds
238,Rawson,AR,-43.3002,-65.1023,58.01,68,100,18.88,light rain
239,Prestea,GH,5.4327,-2.1428,71.55,99,58,1.95,broken clouds
240,Aksha,RU,50.2814,113.2867,39.09,34,69,9.93,broken clouds
241,Pisco,PE,-13.7,-76.2167,60.85,82,100,9.22,overcast clouds
242,Verkhoyansk,RU,67.5447,133.385,28.08,76,95,4.38,overcast clouds
243,Ostrovnoy,RU,68.0531,39.5131,40.37,74,100,7.02,overcast clouds
244,Werda,BW,-25.2667,23.2833,69.26,20,0,6.06,clear sky
245,Kamenskiy,RU,50.8855,45.488,55.67,87,99,10.0,overcast clouds
246,Hobyo,SO,5.3505,48.5268,79.43,75,34,15.7,scattered clouds
247,Kungurtug,RU,50.5994,97.5228,37.81,16,0,2.06,clear sky
248,Broome,AU,-17.9667,122.2333,82.35,54,20,11.5,few clouds
249,Hamilton,BM,32.2915,-64.778,77.04,93,75,4.61,broken clouds
250,Jasper,CA,52.8833,-118.0857,52.47,58,55,5.75,broken clouds
251,Chengde,CN,40.9725,117.9361,52.23,18,0,9.1,clear sky
252,Coron,PH,11.9986,120.2043,86.56,67,100,9.8,light rain
253,Santarém,BR,-2.4431,-54.7083,75.33,100,0,2.3,clear sky
254,Indramayu,ID,-6.3264,108.32,85.75,63,100,7.54,overcast clouds
255,Puro,PH,12.4841,123.3827,87.42,64,89,5.73,overcast clouds
256,Kargasok,RU,59.0556,80.8572,37.81,71,100,13.69,light rain
257,Bonfim,BR,3.0833,-59.95,76.59,80,89,3.58,overcast clouds
258,Nouadhibou,MR,20.931,-17.0347,80.58,65,90,11.5,overcast clouds
259,Kapaa,US,22.0752,-159.319,80.58,76,3,1.99,clear sky
260,Zheleznodorozhnyy,RU,55.7503,38.0042,50.43,80,100,16.69,overcast clouds
261,San Cristobal,EC,-0.9045,-89.6174,68.25,84,51,11.34,broken clouds
262,Nikolskoye,RU,59.7035,30.7861,46.29,96,79,4.29,broken clouds
263,Flin Flon,CA,54.7682,-101.865,45.12,61,45,1.9,scattered clouds
